supplier_id,supplier_name,variant_id,sku,barcode,ean,supplier_sku,unit_cost,stock_status,lead_time_hours,minimum_quantity,active
192b146e-180e-4557-aa9b-be6205c5edd9,Distribuidora KF,,PI-EXC-CAT-AD-75K,,,"EXCELLENT ADULTO x7,5KG",52700.00,UNKNOWN,,1,true
192b146e-180e-4557-aa9b-be6205c5edd9,Distribuidora KF,,PI-EXC-DOG-AD-MG-15K,,,EXCELLENT ADULTO POLLO Y ARROZ x15KG,58700.00,UNKNOWN,,1,true
192b146e-180e-4557-aa9b-be6205c5edd9,Distribuidora KF,,PI-EXC-DOG-AD-SM-15K,,,EXCELLENT ADULTO SMALL x15KG,61200.00,UNKNOWN,,1,true
192b146e-180e-4557-aa9b-be6205c5edd9,Distribuidora KF,,PI-EXC-DOG-PUP-MG-15K,,,EXCELLENT PUPPY POLLO Y ARROZ x15KG,64400.00,UNKNOWN,,1,true
192b146e-180e-4557-aa9b-be6205c5edd9,Distribuidora KF,,PI-OP-EQ-CAT-AD-75K,,,OLD PRINCE GATO ADULTO EQUILIBRIUM X7.5KG,46500.00,UNKNOWN,,1,true
192b146e-180e-4557-aa9b-be6205c5edd9,Distribuidora KF,,PI-OP-EQ-DOG-AD-SM-15K,,,OLD PRINCE ADULT SMALL EQUILIBRIUM (P Y A) x15KG,53500.00,UNKNOWN,,1,true
